Minutes,Seconds,LBR302,LBR305,LBR306,LBR308,LBR314,,
00:28:00,1680,1329,,,1290,1211,,
00:28:05,1685,1328,,,1290,1211,,
00:28:10,1690,1318,,,1289,1211,,
00:28:15,1695,1299,,,1289,1211,,
00:28:20,1700,1281,,,1289,1211,,
00:28:25,1705,1250,,,1288,1211,,
00:28:30,1710,1243,,,1287,1210,,
00:28:35,1715,1245,,,1286,1210,,
00:28:40,1720,1249,,,1286,1210,,
00:28:45,1725,1250,,,1285,1210,,
00:28:50,1730,1246,,,1284,1210,,
00:28:55,1735,1239,,,1283,1210,,
00:29:00,1740,1235,,,1282,1209,,
00:29:05,1745,1233,,,1283,1209,,
00:29:10,1750,1234,,,1283,1210,,
00:29:15,1755,1238,,,1283,1210,,
00:29:20,1760,1241,,,1282,1210,,
00:29:25,1765,1241,,,1281,1211,,
00:29:30,1770,1234,,,1281,1211,,
00:29:35,1775,1231,,,1281,1210,,
00:29:40,1780,1227,,,1281,1210,,
00:29:45,1785,1225,,,1281,1209,,
00:29:50,1790,1225,,,1280,1209,,
00:29:55,1795,1226,,,1281,1208,,
00:30:00,1800,1232,,,1281,1207,,
00:30:05,1805,1235,,,1281,1206,,
00:30:10,1810,1246,,,1279,1205,,
00:30:15,1815,1254,,,1279,1206,,
00:30:20,1820,1264,,,1278,1205,,
00:30:25,1825,1270,,,1278,1199,,
00:30:30,1830,1289,,,1278,1199,,
00:30:35,1835,1303,,,1278,1198,,
00:30:40,1840,1318,,,1278,1195,,
00:30:45,1845,1313,,,1276,1194,,
00:30:50,1850,1307,,,1276,1190,,
00:30:55,1855,1308,,,1276,1190,,
00:31:00,1860,1307,,,1276,1189,,
00:31:05,1865,1297,,,1275,1190,,
00:31:10,1870,1282,,,1276,1191,,
00:31:15,1875,1273,,,1276,1193,,
00:31:20,1880,1268,,,1276,1192,,
00:31:25,1885,1269,,,1275,1191,,
00:31:30,1890,1274,,,1274,1191,,
00:31:35,1895,1277,,,1274,1191,,
00:31:40,1900,1278,,,1273,1190,,
00:31:45,1905,1272,,,1271,1190,,
00:31:50,1910,1259,,,1271,1189,,
00:31:55,1915,1254,,,1271,1189,,
00:32:00,1920,1228,,,1271,1189,,
00:32:05,1925,1216,,,1270,1189,,
00:32:10,1930,1206,,,1270,1190,,
00:32:15,1935,1204,,,1268,1189,,
00:32:20,1940,1211,,,1267,1187,,
00:32:25,1945,1213,,,1266,1186,,
00:32:30,1950,1216,,,1265,1186,,
00:32:35,1955,1217,,,1265,1187,,
00:32:40,1960,1216,,,1264,1187,,
00:32:45,1965,1218,,,1264,1186,,
00:32:50,1970,1221,,,1264,1185,,
00:32:55,1975,1228,,,1264,1184,,
00:33:00,1980,1235,,,1264,1184,,
00:33:05,1985,1243,,,1264,1183,,
00:33:10,1990,1249,,,1266,1183,,
00:33:15,1995,1261,,,1266,1178,,
00:33:20,2000,1268,,,1266,1177,,
00:33:25,2005,1293,,,1265,1176,,
00:33:30,2010,1301,,,1264,1176,,
00:33:35,2015,1309,,,1264,1176,,
