ID,Seconds Elapsed,Time,One,Two,Three,Four,,,c2,,,,,,
286,1425.1,00:23:45,328,302,176,262,,,,,,,,,
287,1430.1,00:23:50,328,302,176,262,,,,,,,,,
288,1435.1,00:23:55,328,302,176,262,,,,,,,,,
289,1440.1,00:24:00,328,302,176,262,,,,,,,,,
290,1445.1,00:24:05,328,302,176,262,,,,,,,,,
291,1450.1,00:24:10,328,302,176,262,,,,,,,,,
292,1455.1,00:24:15,328,302,176,262,,,,,,,,,
293,1460.1,00:24:20,328,302,176,262,,,,,,,,,
294,1465.1,00:24:25,328,302,176,262,,,,,,,,,
295,1470.1,00:24:30,328,302,176,262,,,,,,,,,
296,1475.1,00:24:35,328,302,176,262,,,,,,,,,
297,1480.1,00:24:40,328,302,176,262,,,,,,,,,
298,1485.1,00:24:45,328,302,176,262,,,,,,,,,
299,1490.1,00:24:50,328,302,176,262,,,,,,,,,
300,1495.1,00:24:55,328,302,176,262,,,,,,,,,
301,1500.1,00:25:00,328,302,176,262,,,,,,,,,
302,1505.1,00:25:05,328,302,176,262,,,,,,,,,
303,1510.1,00:25:10,328,302,176,262,,,,,,,,,
304,1515.1,00:25:15,328,302,176,262,,,,,,,,,
305,1520.1,00:25:20,328,302,176,262,,,,,,,,,
306,1525.1,00:25:25,328,302,176,262,,,,,,,,,
307,1530.1,00:25:30,328,302,176,262,,,,,,,,,
308,1535.1,00:25:35,328,302,176,262,,,,,,,,,
309,1540.1,00:25:40,328,302,176,262,,,,,,,,,
310,1545.1,00:25:45,328,302,176,262,,,,,,,,,
311,1550.1,00:25:50,328,302,176,262,,,,,,,,,
312,1555.1,00:25:55,328,302,176,262,,,,,,,,,
313,1560.1,00:26:00,328,302,176,262,,,,,,,,,
314,1565.1,00:26:05,328,302,176,262,,,,,,,,,
315,1570.1,00:26:10,328,302,176,262,,,,,,,,,
316,1575.1,00:26:15,328,302,176,262,,,,,,,,,
317,1580.1,00:26:20,328,302,176,262,,,,,,,,,
318,1585.1,00:26:25,328,302,176,262,,,,,,,,,
319,1590.1,00:26:30,338,302,176,262,,,,,,,,,
320,1595.1,00:26:35,338,302,176,262,,,,,,,,,
321,1600.1,00:26:40,338,302,176,262,,,,,,,,,
322,1605.1,00:26:45,338,302,176,262,,,,,,,,,
323,1610.1,00:26:50,338,302,176,262,,,,,,,,,
324,1615.1,00:26:55,338,302,176,262,,,,,,,,,
325,1620.1,00:27:00,338,302,176,262,,,,,,,,,
326,1625.1,00:27:05,338,302,176,262,,,,,,,,,
327,1630.1,00:27:10,338,302,176,262,,,,,,,,,
328,1635.1,00:27:15,338,302,186,262,,,,,,,,,
329,1640.1,00:27:20,338,302,186,262,,,,,,,,,
330,1645.1,00:27:25,338,302,186,262,,,,,,,,,
331,1650.1,00:27:30,338,302,186,262,,,,,,,,,
332,1655.1,00:27:35,338,302,186,262,,,,,,,,,
333,1660.1,00:27:40,338,302,186,262,,,,,,,,,
334,1665.1,00:27:45,338,302,186,262,,,,,,,,,
