ID,Time,Seconds Elapsed,One,Two,Three,Four,,,Test C1 - oVernight,,,,,,
396,00:32:55,1975.1,328,291,176,262,,,,,,,,,
397,00:33:00,1980.1,328,291,176,262,,,,,,,,,
398,00:33:05,1985.1,328,291,176,262,,,,,,,,,
399,00:33:10,1990.1,328,291,176,262,,,,,,,,,
400,00:33:15,1995.1,328,291,176,262,,,,,,,,,
401,00:33:20,2000.1,328,291,176,262,,,,,,,,,
402,00:33:25,2005.1,328,291,176,262,,,,,,,,,
403,00:33:30,2010.1,328,291,176,262,,,,,,,,,
404,00:33:35,2015.1,328,291,176,262,,,,,,,,,
405,00:33:40,2020.1,328,291,176,262,,,,,,,,,
406,00:33:45,2025.1,328,291,176,262,,,,,,,,,
407,00:33:50,2030.1,328,291,176,262,,,,,,,,,
408,00:33:55,2035.1,328,291,176,262,,,,,,,,,
409,00:34:00,2040.1,328,291,176,262,,,,,,,,,
410,00:34:05,2045.1,328,291,176,262,,,,,,,,,
411,00:34:10,2050.1,328,291,176,262,,,,,,,,,
412,00:34:15,2055.1,328,291,176,263,,,,,,,,,
413,00:34:20,2060.1,328,291,176,262,,,,,,,,,
414,00:34:25,2065.1,328,291,176,262,,,,,,,,,
415,00:34:30,2070.1,328,291,176,262,,,,,,,,,
416,00:34:35,2075.1,328,291,176,262,,,,,,,,,
417,00:34:40,2080.1,328,291,176,262,,,,,,,,,
418,00:34:45,2085.1,328,291,176,262,,,,,,,,,
419,00:34:50,2090.1,328,291,176,262,,,,,,,,,
420,00:34:55,2095.1,328,291,176,262,,,,,,,,,
421,00:35:00,2100.1,328,291,176,262,,,,,,,,,
422,00:35:05,2105.1,328,291,176,263,,,,,,,,,
423,00:35:10,2110.1,328,291,176,262,,,,,,,,,
424,00:35:15,2115.1,328,291,176,262,,,,,,,,,
425,00:35:20,2120.1,328,291,176,262,,,,,,,,,
426,00:35:25,2125.1,328,291,176,262,,,,,,,,,
427,00:35:30,2130.1,328,291,176,262,,,,,,,,,
428,00:35:35,2135.1,328,291,176,262,,,,,,,,,
429,00:35:40,2140.1,328,291,176,262,,,,,,,,,
430,00:35:45,2145.1,328,291,176,262,,,,,,,,,
431,00:35:50,2150.1,328,291,176,262,,,,,,,,,
432,00:35:55,2155.1,328,291,176,262,,,,,,,,,
433,00:36:00,2160.1,328,291,176,262,,,,,,,,,
434,00:36:05,2165.1,328,291,176,262,,,,,,,,,
435,00:36:10,2170.1,328,291,176,262,,,,,,,,,
436,00:36:15,2175.1,328,291,176,262,,,,,,,,,
437,00:36:20,2180.1,328,291,176,262,,,,,,,,,
438,00:36:25,2185.1,328,291,176,262,,,,,,,,,
439,00:36:30,2190.1,328,291,176,262,,,,,,,,,
440,00:36:35,2195.1,328,291,176,262,,,,,,,,,
441,00:36:40,2200.1,328,291,176,262,,,,,,,,,
